jobid,duration,size
     1,  7662,     1
     2, 23014,     1
     3, 12686,     2
     4,  8421,     2
     5, 31414,     4
     6,   490,     1
     7, 60097,     1
     8, 30989,     2
     9, 43101,     1
    10, 27623,     1
    11,  8972,     1
    12, 57268,     2
    13, 23442,     3
    14, 27213,     2
    15, 22611,     4
    16,   460,     2
    17,  3127,     2
    18, 21867,     2
    19,  9856,     4
    20, 25003,     1
    21, 10151,     4
    22,  1762,     4
    23, 24105,     2
    24,  2695,     4
    25,  1135,     1
    26,  4845,     4
    27, 41373,     1
    28,  6579,     2
    29, 25530,     4
    30, 36221,     2
    31, 26232,     2
    32,  8875,     1
    33,  2379,     1
    34,  5858,     1
    35, 18191,     2
    36, 21231,     2
    37, 18074,     2
    38, 17376,     1
    39,  8801,     2
    40,  6707,     1
    41, 11786,     4
    42, 18461,     1
    43,  8637,     2
    44, 32159,     3
    45, 53140,     3
    46, 42872,     1
    47,  6090,     2
    48, 13493,     1
    49,  8505,     2
    50,  4005,     3
    51,  2626,     2
    52,  5405,     3
    53, 16290,     3
    54,  7444,     1
    55, 13778,     4
    56, 61407,     1
    57, 43091,     1
    58,  1608,     1
    59, 27547,     2
    60, 18098,     2
    61,  4390,     1
    62, 77192,     2
    63, 88403,     2
    64, 20691,     2
    65, 11067,     2
    66,  9802,     1
    67, 10611,     2
    68, 20038,     4
    69,   515,     2
    70, 35692,     1
    71,  8676,     1
    72,  1307,     2
    73, 14499,     3
    74,  7719,     2
    75, 24110,     2
    76,  5053,     3
    77,  5519,     3
    78,  1822,     1
    79, 15706,     2
    80,  9731,     1
    81, 25387,     1
    82,  6423,     2
    83, 97212,     1
    84, 16555,     2
    85, 20211,     1
    86, 13872,     2
    87, 22070,     1
    88, 24577,     1
    89,   782,     4
    90,  3668,     1
    91,  8064,     2
    92, 42132,     2
    93,  7629,     1
    94, 18532,     2
    95, 79355,     4
    96, 11607,     2
    97, 12863,     1
    98,  1170,     2
    99, 15559,     2
   100,  3391,     1
   101,  8064,     1
   102, 57917,     1
   103, 24023,     2
   104, 29399,     2
   105, 26142,     2
   106,    33,     3
   107, 17021,     2
   108,  7526,     2
   109,  4950,     1
   110,    17,     1
   111,  5395,     2
   112,  6258,     3
   113, 30390,     1
   114,  7034,     1
   115, 33068,     3
   116,  2462,     3
   117,  2886,     1
   118,  9618,     2
   119,  2887,     2
   120, 23064,     2
   121,  9417,     2
   122, 52429,     1
   123, 47080,     4
   124, 12553,     1
   125,  9433,     1
   126,  4105,     1
   127, 45876,     3
   128, 14875,     2
   129,  7066,     1
   130, 19578,     3
   131,  7253,     1
   132, 49316,     1
   133,  3254,     1
   134,  9352,     4
   135, 99196,     4
   136, 46378,     1
   137,  9484,     1
   138, 10957,     2
   139, 13358,     1
   140, 14707,     2
   141, 17748,     2
   142, 20127,     2
   143,  1157,     1
