ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64
rtr:G0R0, send_bit_count, port0, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R0, send_packet_count, port0, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R0, output_port_stalls, port0, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R0, idle_time, port0, Accumulator, 4560094621601, 0, 3467519979, 5225825649457203, 283454
rtr:G0R0, send_bit_count, port1, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R0, send_packet_count, port1, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R0, output_port_stalls, port1, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R0, idle_time, port1, Accumulator, 4560094621601, 0, 3466677861, 4071828253989365, 279179
rtr:G0R0, send_bit_count, port2, Accumulator, 4560094621601, 0, 1025973440, 16753650667520, 68805
rtr:G0R0, send_packet_count, port2, Accumulator, 4560094621601, 0, 68805, 68805, 68805
rtr:G0R0, output_port_stalls, port2, Accumulator, 4560094621601, 0, 20036369600, 85464281409280000, 7693
rtr:G0R0, idle_time, port2, Accumulator, 4560094621601, 0, 4409807923, 355630199585939301, 9210
rtr:G0R0, send_bit_count, port3, Accumulator, 4560094621601, 0, 8207773632, 134029199118336, 550409
rtr:G0R0, send_packet_count, port3, Accumulator, 4560094621601, 0, 550409, 550409, 550409
rtr:G0R0, output_port_stalls, port3, Accumulator, 4560094621601, 0, 150598324000, 427787623367040000, 85478
rtr:G0R0, idle_time, port3, Accumulator, 4560094621601, 0, 3368873488, 111803343042061402, 62604
rtr:G0R0, send_bit_count, port4, Accumulator, 4560094621601, 0, 8207773184, 134029198917632, 550408
rtr:G0R0, send_packet_count, port4, Accumulator, 4560094621601, 0, 550408, 550408, 550408
rtr:G0R0, output_port_stalls, port4, Accumulator, 4560094621601, 0, 185587400800, 467939057230720000, 116574
rtr:G0R0, idle_time, port4, Accumulator, 4560094621601, 0, 3314239335, 118816917730425619, 67896
rtr:G0R0, send_bit_count, port5, Accumulator, 4560094621601, 0, 7168, 3211264, 16
rtr:G0R0, send_packet_count, port5, Accumulator, 4560094621601, 0, 16, 16, 16
rtr:G0R0, output_port_stalls, port5, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R0, idle_time, port5, Accumulator, 4560094621601, 0, 1223, 83417, 26
rtr:G0R0, send_bit_count, port6, Accumulator, 4560094621601, 0, 448, 200704, 1
rtr:G0R0, send_packet_count, port6, Accumulator, 4560094621601, 0, 1, 1, 1
rtr:G0R0, output_port_stalls, port6, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R0, idle_time, port6, Accumulator, 4560094621601, 0, 258, 66564, 1
rtr:G0R0, send_bit_count, port7, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R0, send_packet_count, port7, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R0, output_port_stalls, port7, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R0, idle_time, port7, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R0, send_bit_count, port8, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R0, send_packet_count, port8, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R0, output_port_stalls, port8, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R0, idle_time, port8, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R0, xbar_stalls, port0, Accumulator, 4560094621601, 0, 257460989, 257460989, 257460989
rtr:G0R0, xbar_stalls, port1, Accumulator, 4560094621601, 0, 266082352, 266082352, 266082352
rtr:G0R0, xbar_stalls, port2, Accumulator, 4560094621601, 0, 1876974, 1876974, 1876974
rtr:G0R0, xbar_stalls, port3, Accumulator, 4560094621601, 0, 2750573, 2750573, 2750573
rtr:G0R0, xbar_stalls, port4, Accumulator, 4560094621601, 0, 1876211, 1876211, 1876211
rtr:G0R0, xbar_stalls, port5, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R0, xbar_stalls, port6, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R0, xbar_stalls, port7, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R0, xbar_stalls, port8, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R1, send_bit_count, port0, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R1, send_packet_count, port0, Accumulator, 4560094621601, 0, 0, 0, 0
rtr:G0R1, output_port_stalls, port0, Accumulator, 4560094621601, 0, 0, 0, 0
