ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64
rtr:G0R0, send_bit_count, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R0, send_packet_count, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R0, output_port_stalls, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R0, idle_time, port0, Accumulator, 77898966001, 0, 74491205, 887313498963, 78808
rtr:G0R0, send_bit_count, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R0, send_packet_count, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R0, output_port_stalls, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R0, idle_time, port1, Accumulator, 77898966001, 0, 74492335, 894698483405, 78926
rtr:G0R0, send_bit_count, port2, Accumulator, 77898966001, 0, 19263680, 8784220160, 42245
rtr:G0R0, send_packet_count, port2, Accumulator, 77898966001, 0, 42245, 42245, 42245
rtr:G0R0, output_port_stalls, port2, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R0, idle_time, port2, Accumulator, 77898966001, 0, 74625954, 12309976049924, 70053
rtr:G0R0, send_bit_count, port3, Accumulator, 77898966001, 0, 19265472, 8785022976, 42249
rtr:G0R0, send_packet_count, port3, Accumulator, 77898966001, 0, 42249, 42249, 42249
rtr:G0R0, output_port_stalls, port3, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R0, idle_time, port3, Accumulator, 77898966001, 0, 74631370, 21275673893540, 68773
rtr:G0R0, send_bit_count, port4, Accumulator, 77898966001, 0, 19265024, 8784822272, 42248
rtr:G0R0, send_packet_count, port4, Accumulator, 77898966001, 0, 42248, 42248, 42248
rtr:G0R0, output_port_stalls, port4, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R0, idle_time, port4, Accumulator, 77898966001, 0, 74692898, 41212141768828, 59572
rtr:G0R0, send_bit_count, port5, Accumulator, 77898966001, 0, 9346048, 4261740544, 20496
rtr:G0R0, send_packet_count, port5, Accumulator, 77898966001, 0, 20496, 20496, 20496
rtr:G0R0, output_port_stalls, port5, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R0, idle_time, port5, Accumulator, 77898966001, 0, 77490250, 50402264399212, 37280
rtr:G0R0, send_bit_count, port6, Accumulator, 77898966001, 0, 9339328, 4258729984, 20481
rtr:G0R0, send_packet_count, port6, Accumulator, 77898966001, 0, 20481, 20481, 20481
rtr:G0R0, output_port_stalls, port6, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R0, idle_time, port6, Accumulator, 77898966001, 0, 77468614, 50213943019452, 37795
rtr:G0R0, send_bit_count, port7, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G0R0, send_packet_count, port7, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G0R0, output_port_stalls, port7, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R0, idle_time, port7, Accumulator, 77898966001, 0, 76711590, 59075945816396, 37336
rtr:G0R0, send_bit_count, port8, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G0R0, send_packet_count, port8, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G0R0, output_port_stalls, port8, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R0, idle_time, port8, Accumulator, 77898966001, 0, 76730204, 61033112633888, 36941
rtr:G0R0, xbar_stalls, port0, Accumulator, 77898966001, 0, 6898, 6898, 6898
rtr:G0R0, xbar_stalls, port1, Accumulator, 77898966001, 0, 7405, 7405, 7405
rtr:G0R0, xbar_stalls, port2, Accumulator, 77898966001, 0, 5720, 5720, 5720
rtr:G0R0, xbar_stalls, port3, Accumulator, 77898966001, 0, 5445, 5445, 5445
rtr:G0R0, xbar_stalls, port4, Accumulator, 77898966001, 0, 4006, 4006, 4006
rtr:G0R0, xbar_stalls, port5, Accumulator, 77898966001, 0, 1017, 1017, 1017
rtr:G0R0, xbar_stalls, port6, Accumulator, 77898966001, 0, 777, 777, 777
rtr:G0R0, xbar_stalls, port7, Accumulator, 77898966001, 0, 774, 774, 774
rtr:G0R0, xbar_stalls, port8, Accumulator, 77898966001, 0, 1036, 1036, 1036
rtr:G0R1, send_bit_count, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R1, send_packet_count, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R1, output_port_stalls, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R1, idle_time, port0, Accumulator, 77898966001, 0, 74493617, 893689644455, 78864
rtr:G0R1, send_bit_count, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R1, send_packet_count, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R1, output_port_stalls, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R1, idle_time, port1, Accumulator, 77898966001, 0, 74492251, 886498655615, 79085
rtr:G0R1, send_bit_count, port2, Accumulator, 77898966001, 0, 19263680, 8784220160, 42245
rtr:G0R1, send_packet_count, port2, Accumulator, 77898966001, 0, 42245, 42245, 42245
rtr:G0R1, output_port_stalls, port2, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R1, idle_time, port2, Accumulator, 77898966001, 0, 74613360, 7229278395488, 70570
rtr:G0R1, send_bit_count, port3, Accumulator, 77898966001, 0, 19262784, 8783818752, 42243
rtr:G0R1, send_packet_count, port3, Accumulator, 77898966001, 0, 42243, 42243, 42243
rtr:G0R1, output_port_stalls, port3, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R1, idle_time, port3, Accumulator, 77898966001, 0, 74709210, 25227282559052, 59777
