jobid,duration,size
     1,  7662,     1
     2, 23014,     2
     3, 12686,     2
     4,  8421,     3
     5, 31414,     1
     6,   490,     1
     7, 60097,     1
     8, 30989,     2
     9, 43101,     2
    10, 27623,     4
    11,  8972,     1
    12, 57268,     2
    13, 23442,     1
    14, 27213,     3
    15, 22611,     3
    16,   460,     1
    17,  3127,     2
    18, 21867,     4
    19,  9856,     3
    20, 25003,     2
    21, 10151,     1
    22,  1762,     3
    23, 24105,     1
    24,  2695,     4
    25,  1135,     2
    26,  4845,     2
    27, 41373,     1
    28,  6579,     3
    29, 25530,     2
    30, 36221,     2
    31, 26232,     1
    32,  8875,     2
    33,  2379,     3
    34,  5858,     3
    35, 18191,     1
    36, 21231,     2
    37, 18074,     1
    38, 17376,     1
    39,  8801,     2
    40,  6707,     1
    41, 11786,     2
    42, 18461,     2
    43,  8637,     2
    44, 32159,     2
    45, 53140,     3
    46, 42872,     3
    47,  6090,     1
    48, 13493,     1
    49,  8505,     2
    50,  4005,     2
    51,  2626,     3
    52,  5405,     4
    53, 16290,     3
    54,  7444,     1
    55, 13778,     2
    56, 61407,     1
    57, 43091,     1
    58,  1608,     3
    59, 27547,     1
    60, 18098,     3
    61,  4390,     1
    62, 77192,     2
    63, 88403,     1
    64, 20691,     2
    65, 11067,     1
    66,  9802,     2
    67, 10611,     1
    68, 20038,     1
    69,   515,     1
    70, 35692,     3
    71,  8676,     2
    72,  1307,     1
    73, 14499,     4
    74,  7719,     2
    75, 24110,     4
    76,  5053,     1
    77,  5519,     2
    78,  1822,     2
    79, 15706,     1
    80,  9731,     3
    81, 25387,     2
    82,  6423,     3
    83, 97212,     1
    84, 16555,     2
    85, 20211,     3
    86, 13872,     3
    87, 22070,     2
    88, 24577,     1
    89,   782,     2
    90,  3668,     1
    91,  8064,     3
    92, 42132,     2
    93,  7629,     4
    94, 18532,     1
    95, 79355,     2
    96, 11607,     4
    97, 12863,     4
    98,  1170,     1
    99, 15559,     1
   100,  3391,     3
   101,  8064,     1
   102, 57917,     3
   103, 24023,     3
   104, 29399,     1
   105, 26142,     2
   106,    33,     3
   107, 17021,     3
   108,  7526,     2
   109,  4950,     2
   110,    17,     2
   111,  5395,     2
   112,  6258,     2
   113, 30390,     3
   114,  7034,     1
   115, 33068,     1
   116,  2462,     2
   117,  2886,     4
   118,  9618,     2
   119,  2887,     3
   120, 23064,     2
   121,  9417,     1
   122, 52429,     2
   123, 47080,     2
   124, 12553,     2
   125,  9433,     1
   126,  4105,     2
   127, 45876,     3
   128, 14875,     1
   129,  7066,     1
   130, 19578,     1
   131,  7253,     3
   132, 49316,     2
   133,  3254,     3
   134,  9352,     2
   135, 99196,     1
   136, 46378,     1
   137,  9484,     3
   138, 10957,     4
   139, 13358,     2
   140, 14707,     1
   141, 17748,     2
   142, 20127,     1
   143,  1157,     1
   144, 78454,     2
   145, 55455,     3
   146,  3594,     1
   147, 41536,     3
   148,   126,     2
   149, 11165,     1
   150, 17389,     4
   151, 20278,     2
   152,  8593,     1
   153,  1316,     3
   154,  3926,     2
   155, 34103,     4
   156,  3909,     2
   157, 31747,     1
   158, 29135,     3
   159, 11469,     2
   160, 21690,     1
   161, 11560,     2
   162,  7617,     2
   163, 19158,     2
   164,  9335,     1
   165, 42537,     1
   166,  8458,     2
   167, 39894,     1
   168,   568,     1
   169, 14977,     1
   170, 14852,     1
   171, 10461,     1
   172,  6248,     3
   173, 14346,     2
   174, 12428,     4
   175, 35923,     3
   176,   593,     1
   177,   299,     4
   178, 73435,     1
   179, 34375,     1
   180,  1935,     1
   181,   151,     1
   182, 34734,     1
   183, 46415,     1
   184,  7931,     1
   185, 54886,     3
   186, 31048,     2
   187, 25502,     2
   188, 14647,     3
   189, 12505,     1
   190, 54369,     1
   191, 51233,     4
   192, 11661,     1
   193, 55220,     1
   194, 63037,     2
   195, 27391,     1
   196,  2869,     3
   197, 17205,     2
   198,  2681,     2
   199, 10957,     4
   200,  4479,     2
   201, 58538,     1
   202,   299,     1
   203,  6792,     1
   204, 38741,     4
   205,  5221,     1
   206, 19046,     3
   207, 36627,     2
   208, 10623,     1
   209, 63026,     1
   210,  8502,     1
   211, 11358,     1
   212,    13,     3
   213,  5214,     2
   214, 21739,     2
   215,  5392,     1
   216, 11921,     2
   217, 32402,     3
   218, 38318,     3
   219, 19372,     3
   220, 16328,     1
   221, 14075,     2
   222, 16070,     1
   223,  3243,     2
   224,  7532,     1
   225, 45225,     2
   226, 33709,     1
   227, 17043,     2
   228, 13641,     3
   229, 39487,     3
   230,  4178,     1
   231, 74720,     1
   232,  1420,     1
   233, 18266,     3
   234, 26471,     2
   235,  4885,     1
   236,  5700,     2
   237, 17645,     1
   238,  4456,     1
   239, 28910,     3
   240, 62811,     1
   241,  6585,     1
   242, 10321,     2
   243, 46879,     3
   244, 25932,     2
   245,  4199,     3
   246, 20812,     2
   247, 17088,     2
   248, 17676,     2
   249,  8159,     2
   250,  3469,     2
   251, 23597,     2
