/* 64- and 128- Bit Instructions */
/*  Instruction;Operands;Operation;Decode Unit;Execution Unit;Base Latency; */
/*              +Memory Latency;Throughput;Category  */
/*  By default, if an instruction has no character to its left, this means */
/*  that there is always a 2-cycle difference between that instruction have */
/*  only xmmister operands and that instruction having a memory operand. */
/*  Any instruction that has a memory operand as its second operand is a */
/*  LOAD. Instructions with an * in front of them means that the operands */
/*  must be inspected before you can tell which        */
/*  execution it will use and, therefore, its latency. */

/* WALEED: notes, I'm making a line for each unique combination of operands */
/*   I'm also removing the memory + latency because that should be taken care of in the model and since */
/*   We are reading a detailed instruction mix, each line of which should hit in exactly one line here */ 
/* also, replaced all CL/.. references with 'reg' and constant '1''s with 'imm'
// all entries with unspecified reg size, replaced to reg8/16/32/64
// finally, entries with unspecified 'mem' size also replaced to mem8/mem16/mem32/mem64

*MOVAPD  xmm,xmm         MOV     single  FADD/FMUL/FSTORE 2  0   3/1  FADD-2
*MOVAPD  xmm,mem         MOV     single  FADD/FMUL/FSTORE 2  0   2/1  FLOAD-2
*MOVAPD  mem,xmm         MOV     double  FSTORE           2  0   1/1  FSTORE-2
*MOVAPS  xmm,xmm         MOV     single  FADD/FMUL/FSTORE 2  0   3/1  FADD-2
*MOVAPS  xmm,mem         MOV     single  FADD/FMUL/FSTORE 2  0   2/1  FLOAD-2
*MOVAPS  mem,xmm         MOV     double  FSTORE           2  0   1/1  FSTORE-2
*MOVD    reg32,xmm/mm    MOV     single  FADD              3  0   1/1  FADD-3
*MOVD    reg64,xmm/mm    MOV     single  FADD              3  0   1/1  FADD-3
*MOVD    xmm,mem         MOV     single  FADD/FMUL/FSTORE  2  0   2/1  FLOAD-2
*MOVD    mem,xmm/mm      MOV     single  FSTORE            2  0   1/1  FSTORE-2
*MOVD    mm,mem          MOV     single  FADD/FMUL/FSTORE  4  0   2/1  FLOAD-4
*MOVD    xmm/mm,reg32    MOV     double  FMUL&ALU          6  0   1/3  ALU-6
*MOVD    xmm/mm,reg64    MOV     double  FMUL&ALU          6  0   1/3  ALU-6
*MOVDDUP xmm,xmm         MOV     single  FADD/FMUL        2  0   3/1  FADD-2
*MOVDDUP xmm,mem         MOV     single  FADD/FMUL/FSTORE 2  0   2/1  FLOAD-2
*MOVDDUP mem,xmm         MOV     single  FSTORE           2  0   2/1  FLOAD-2
MOVDQ2Q  mm,xmm          MOV     single  FADD/FMUL/FSTORE 2  0   3/1  FADD-2
*MOVDQA  xmm,xmm         MOV     single  FADD/FMUL/FSTORE 2  0   3/1  FADD-2
*MOVDQA  xmm,mem         MOV     single  FADD/FMUL/FSTORE 2  0   2/1  FLOAD-2
*MOVDQA  mem,xmm         MOV     double  FSTORE           2  0   1/1  FSTORE-2
*MOVDQU  xmm,xmm         MOV     single  FADD/FMUL/FSTORE 2  0   3/1  FADD-2
