,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,
0,,13,19,25,24,18,12,6,5,,,,,,,,27,,,,,,,,17,,,,,,,,8,,,,,,,,4,,,,,,,,23,,,,,,,,14,,,,,,,,
1,0,,20,26,23,17,11,5,,13,,,,,,,,7,,,,,,,,25,,,,,,,,16,,,,,,,,12,,,,,,,,3,,,,,,,,22,,,,,,,
2,1,7,,27,22,16,10,4,,,21,,,,,,,,15,,,,,,,,5,,,,,,,,24,,,,,,,,20,,,,,,,,11,,,,,,,,2,,,,,,
3,2,8,14,,21,15,9,3,,,,1,,,,,,,,23,,,,,,,,13,,,,,,,,4,,,,,,,,0,,,,,,,,19,,,,,,,,10,,,,,
4,3,9,15,21,,14,8,2,,,,,1,,,,,,,,23,,,,,,,,13,,,,,,,,4,,,,,,,,0,,,,,,,,19,,,,,,,,10,,,,
5,4,10,16,22,27,,7,1,,,,,,21,,,,,,,,15,,,,,,,,5,,,,,,,,24,,,,,,,,20,,,,,,,,11,,,,,,,,2,,,
6,5,11,17,23,26,20,,0,,,,,,,13,,,,,,,,7,,,,,,,,25,,,,,,,,16,,,,,,,,12,,,,,,,,3,,,,,,,,22,,
7,6,12,18,24,25,19,13,,,,,,,,,5,,,,,,,,27,,,,,,,,17,,,,,,,,8,,,,,,,,4,,,,,,,,23,,,,,,,,14,
8,7,,,,,,,,,6,12,18,17,11,5,27,26,,,,,,,,20,,,,,,,,10,,,,,,,,1,,,,,,,,25,,,,,,,,16,,,,,,,,
9,,15,,,,,,,21,,13,19,16,10,4,26,,6,,,,,,,,0,,,,,,,,18,,,,,,,,9,,,,,,,,5,,,,,,,,24,,,,,,,
10,,,23,,,,,,22,0,,20,15,9,3,25,,,14,,,,,,,,8,,,,,,,,26,,,,,,,,17,,,,,,,,13,,,,,,,,4,,,,,,
11,,,,3,,,,,23,1,7,,14,8,2,24,,,,22,,,,,,,,16,,,,,,,,6,,,,,,,,25,,,,,,,,21,,,,,,,,12,,,,,
12,,,,,3,,,,24,2,8,14,,7,1,23,,,,,22,,,,,,,,16,,,,,,,,6,,,,,,,,25,,,,,,,,21,,,,,,,,12,,,,
13,,,,,,23,,,25,3,9,15,20,,0,22,,,,,,14,,,,,,,,8,,,,,,,,26,,,,,,,,17,,,,,,,,13,,,,,,,,4,,,
14,,,,,,,15,,26,4,10,16,19,13,,21,,,,,,,6,,,,,,,,0,,,,,,,,18,,,,,,,,9,,,,,,,,5,,,,,,,,24,,
15,,,,,,,,7,27,5,11,17,18,12,6,,,,,,,,,26,,,,,,,,20,,,,,,,,10,,,,,,,,1,,,,,,,,25,,,,,,,,16,
16,9,,,,,,,,0,,,,,,,,,27,5,11,10,4,26,20,19,,,,,,,,13,,,,,,,,3,,,,,,,,22,,,,,,,,18,,,,,,,,
17,,17,,,,,,,,8,,,,,,,14,,6,12,9,3,25,19,,27,,,,,,,,21,,,,,,,,11,,,,,,,,2,,,,,,,,26,,,,,,,
18,,,25,,,,,,,,16,,,,,,15,21,,13,8,2,24,18,,,7,,,,,,,,1,,,,,,,,19,,,,,,,,10,,,,,,,,6,,,,,,
19,,,,5,,,,,,,,24,,,,,16,22,0,,7,1,23,17,,,,15,,,,,,,,9,,,,,,,,27,,,,,,,,18,,,,,,,,14,,,,,
20,,,,,5,,,,,,,,24,,,,17,23,1,7,,0,22,16,,,,,15,,,,,,,,9,,,,,,,,27,,,,,,,,18,,,,,,,,14,,,,
21,,,,,,25,,,,,,,,16,,,18,24,2,8,13,,21,15,,,,,,7,,,,,,,,1,,,,,,,,19,,,,,,,,10,,,,,,,,6,,,
22,,,,,,,17,,,,,,,,8,,19,25,3,9,12,6,,14,,,,,,,27,,,,,,,,21,,,,,,,,11,,,,,,,,2,,,,,,,,26,,
23,,,,,,,,9,,,,,,,,0,20,26,4,10,11,5,27,,,,,,,,,19,,,,,,,,13,,,,,,,,3,,,,,,,,22,,,,,,,,18,
24,11,,,,,,,,2,,,,,,,,21,,,,,,,,,20,26,4,3,25,19,13,12,,,,,,,,6,,,,,,,,24,,,,,,,,15,,,,,,,,
25,,19,,,,,,,,10,,,,,,,,1,,,,,,,7,,27,5,2,24,18,12,,20,,,,,,,,14,,,,,,,,4,,,,,,,,23,,,,,,,
26,,,27,,,,,,,,18,,,,,,,,9,,,,,,8,14,,6,1,23,17,11,,,0,,,,,,,,22,,,,,,,,12,,,,,,,,3,,,,,,
27,,,,7,,,,,,,,26,,,,,,,,17,,,,,9,15,21,,0,22,16,10,,,,8,,,,,,,,2,,,,,,,,20,,,,,,,,11,,,,,
28,,,,,7,,,,,,,,26,,,,,,,,17,,,,10,16,22,0,,21,15,9,,,,,8,,,,,,,,2,,,,,,,,20,,,,,,,,11,,,,
29,,,,,,27,,,,,,,,18,,,,,,,,9,,,11,17,23,1,6,,14,8,,,,,,0,,,,,,,,22,,,,,,,,12,,,,,,,,3,,,
30,,,,,,,19,,,,,,,,10,,,,,,,,1,,12,18,24,2,5,27,,7,,,,,,,20,,,,,,,,14,,,,,,,,4,,,,,,,,23,,
31,,,,,,,,11,,,,,,,,2,,,,,,,,21,13,19,25,3,4,26,20,,,,,,,,,12,,,,,,,,6,,,,,,,,24,,,,,,,,15,
32,8,,,,,,,,4,,,,,,,,23,,,,,,,,14,,,,,,,,,13,19,25,24,18,12,6,5,,,,,,,,27,,,,,,,,17,,,,,,,,
33,,16,,,,,,,,12,,,,,,,,3,,,,,,,,22,,,,,,,0,,20,26,23,17,11,5,,13,,,,,,,,7,,,,,,,,25,,,,,,,
34,,,24,,,,,,,,20,,,,,,,,11,,,,,,,,2,,,,,,1,7,,27,22,16,10,4,,,21,,,,,,,,15,,,,,,,,5,,,,,,
35,,,,4,,,,,,,,0,,,,,,,,19,,,,,,,,10,,,,,2,8,14,,21,15,9,3,,,,1,,,,,,,,23,,,,,,,,13,,,,,
36,,,,,4,,,,,,,,0,,,,,,,,19,,,,,,,,10,,,,3,9,15,21,,14,8,2,,,,,1,,,,,,,,23,,,,,,,,13,,,,
37,,,,,,24,,,,,,,,20,,,,,,,,11,,,,,,,,2,,,4,10,16,22,27,,7,1,,,,,,21,,,,,,,,15,,,,,,,,5,,,
38,,,,,,,16,,,,,,,,12,,,,,,,,3,,,,,,,,22,,5,11,17,23,26,20,,0,,,,,,,13,,,,,,,,7,,,,,,,,25,,
39,,,,,,,,8,,,,,,,,4,,,,,,,,23,,,,,,,,14,6,12,18,24,25,19,13,,,,,,,,,5,,,,,,,,27,,,,,,,,17,
40,10,,,,,,,,1,,,,,,,,25,,,,,,,,16,,,,,,,,7,,,,,,,,,6,12,18,17,11,5,27,26,,,,,,,,20,,,,,,,,
41,,18,,,,,,,,9,,,,,,,,5,,,,,,,,24,,,,,,,,15,,,,,,,21,,13,19,16,10,4,26,,6,,,,,,,,0,,,,,,,
42,,,26,,,,,,,,17,,,,,,,,13,,,,,,,,4,,,,,,,,23,,,,,,22,0,,20,15,9,3,25,,,14,,,,,,,,8,,,,,,
43,,,,6,,,,,,,,25,,,,,,,,21,,,,,,,,12,,,,,,,,3,,,,,23,1,7,,14,8,2,24,,,,22,,,,,,,,16,,,,,
44,,,,,6,,,,,,,,25,,,,,,,,21,,,,,,,,12,,,,,,,,3,,,,24,2,8,14,,7,1,23,,,,,22,,,,,,,,16,,,,
45,,,,,,26,,,,,,,,17,,,,,,,,13,,,,,,,,4,,,,,,,,23,,,25,3,9,15,20,,0,22,,,,,,14,,,,,,,,8,,,
46,,,,,,,18,,,,,,,,9,,,,,,,,5,,,,,,,,24,,,,,,,,15,,26,4,10,16,19,13,,21,,,,,,,6,,,,,,,,0,,
47,,,,,,,,10,,,,,,,,1,,,,,,,,25,,,,,,,,16,,,,,,,,7,27,5,11,17,18,12,6,,,,,,,,,26,,,,,,,,20,
48,13,,,,,,,,3,,,,,,,,22,,,,,,,,18,,,,,,,,9,,,,,,,,0,,,,,,,,,27,5,11,10,4,26,20,19,,,,,,,,
49,,21,,,,,,,,11,,,,,,,,2,,,,,,,,26,,,,,,,,17,,,,,,,,8,,,,,,,14,,6,12,9,3,25,19,,27,,,,,,,
50,,,1,,,,,,,,19,,,,,,,,10,,,,,,,,6,,,,,,,,25,,,,,,,,16,,,,,,15,21,,13,8,2,24,18,,,7,,,,,,
51,,,,9,,,,,,,,27,,,,,,,,18,,,,,,,,14,,,,,,,,5,,,,,,,,24,,,,,16,22,0,,7,1,23,17,,,,15,,,,,
52,,,,,9,,,,,,,,27,,,,,,,,18,,,,,,,,14,,,,,,,,5,,,,,,,,24,,,,17,23,1,7,,0,22,16,,,,,15,,,,
53,,,,,,1,,,,,,,,19,,,,,,,,10,,,,,,,,6,,,,,,,,25,,,,,,,,16,,,18,24,2,8,13,,21,15,,,,,,7,,,
