18
 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
0,,0,5,10,1,9,11,7,16,2,3,8,13,6,4,14,
1,0,,1,11,10,3,12,16,4,8,14,9,6,17,2,13,
2,1,4,,17,0,8,7,10,9,16,11,6,14,3,5,2,
3,2,8,3,,9,11,16,1,0,15,6,7,10,5,14,4,
4,3,2,16,8,,1,4,6,10,12,0,15,5,7,11,17,
5,4,6,9,2,8,,14,15,3,0,7,11,12,16,1,5,
6,5,11,6,1,2,16,,9,7,10,8,0,4,12,17,15,
7,6,10,7,5,3,4,0,,8,17,9,2,11,13,16,1,
8,7,9,4,15,13,2,3,17,,6,5,16,1,8,12,0,
9,8,17,13,3,16,6,9,2,5,,12,1,0,4,10,7,
10,16,3,10,9,6,13,15,4,2,5,,17,7,1,0,8,
11,9,13,11,4,12,15,1,5,14,3,16,,2,0,7,6,
12,10,12,14,6,11,0,5,8,1,7,17,4,,2,3,9,
13,11,1,12,7,4,5,10,0,6,9,2,13,3,,8,16,
14,12,7,2,0,5,17,8,11,13,1,4,10,16,15,,3,
15,17,14,0,16,7,10,2,3,11,4,1,5,8,9,6,,
