61
 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,
0, ,0,5,60,23,13,10,1,4,12,34,6,14,20,2,19,42,51,47,48,38,37,33,44,8,3,30,27,46,50,9,40,32,18,55,59,
1, 0,,19,10,21,2,9,4,11,47,25,26,5,23,30,7,14,45,15,33,24,12,8,3,16,51,20,13,39,44,50,29,22,54,17,52,
2, 1,6,,20,5,14,49,23,8,24,22,10,0,25,13,15,3,2,4,39,9,45,38,51,27,28,16,12,54,47,31,44,7,40,46,56,
3, 2,12,0,,28,11,15,18,3,5,7,32,23,49,24,1,9,16,10,13,4,14,58,26,47,30,25,39,27,22,55,48,36,37,29,42,
4, 3,18,1,29,,0,42,27,55,26,2,7,19,6,10,5,12,8,44,47,48,23,17,50,41,37,60,22,30,25,4,38,14,52,15,51,
5, 4,47,6,12,13,,25,24,5,22,3,8,40,36,41,20,32,9,52,1,55,21,23,48,0,58,43,54,19,2,33,18,53,10,39,7,
6, 5,2,47,4,12,35,,8,18,3,31,21,17,0,15,49,25,53,16,11,57,36,56,28,7,23,34,60,58,43,1,52,6,39,24,13,
7, 6,3,29,30,7,26,12,,16,17,8,14,18,19,47,9,1,41,21,4,46,40,34,27,25,0,32,56,2,38,11,10,28,42,57,48,
8, 7,27,2,9,0,47,3,11,,1,20,5,41,32,8,35,60,23,48,34,29,22,19,30,52,24,26,36,10,18,42,53,21,50,6,43,
9, 8,49,7,16,17,1,13,10,14,,9,3,28,54,5,2,15,21,31,19,32,18,20,12,44,33,40,41,0,6,52,11,46,53,51,45,
10, 9,5,27,8,4,6,51,19,12,15,,11,13,26,32,24,21,3,43,40,39,20,31,7,42,45,28,33,18,16,34,2,54,0,1,49,
11, 10,32,41,7,2,3,4,28,23,14,0,,12,30,27,16,49,5,46,60,35,25,29,6,59,50,56,15,51,24,26,17,42,13,47,34,
12, 11,8,3,1,16,52,6,47,7,13,48,23,,17,36,37,33,28,19,0,15,26,25,54,10,5,22,42,41,29,2,4,20,14,53,31,
13, 12,10,34,32,51,8,0,3,38,50,58,2,4,,11,17,29,18,7,5,45,41,35,43,36,26,6,23,31,53,14,1,9,19,30,47,
14, 13,50,8,48,6,31,5,12,10,4,30,27,29,18,,21,22,24,3,32,2,57,15,14,20,11,0,37,55,17,41,23,1,33,35,25,
15, 14,11,13,35,20,10,33,40,31,0,4,37,52,48,18,,17,6,24,38,34,9,7,1,54,21,23,3,8,5,16,49,15,28,50,2,
16, 15,33,42,2,22,7,16,43,45,6,14,17,50,3,25,0,,1,9,29,53,10,27,35,19,36,5,24,13,8,21,32,12,55,11,26,
17, 16,26,43,19,1,15,36,34,39,10,6,4,2,35,17,53,0,,12,49,22,31,3,8,57,32,27,44,5,9,28,30,37,11,20,14,
18, 17,14,9,25,18,37,2,5,30,46,53,0,1,7,23,8,10,52,,3,13,29,21,49,48,15,47,51,57,28,12,19,16,38,36,11,
19, 18,16,22,33,53,55,7,37,1,45,60,52,32,13,50,38,20,0,17,,10,6,11,9,24,12,21,35,40,15,27,5,49,4,8,3,
20, 58,17,14,15,41,22,26,20,21,7,16,33,8,10,6,27,48,46,0,18,,1,24,47,3,2,19,30,9,34,29,13,4,5,49,32,
21, 19,51,55,3,25,42,32,6,53,30,45,12,7,16,39,34,5,4,11,21,0,,22,13,26,35,10,18,20,1,24,43,31,17,14,9,
22, 20,34,35,24,3,32,1,50,54,53,5,18,45,4,22,11,2,15,57,28,41,8,,0,46,31,7,10,47,23,39,6,29,48,9,17,
23, 21,22,17,11,60,5,37,52,20,32,27,24,34,15,51,14,28,10,33,30,36,4,0,,12,16,49,38,1,35,40,25,41,31,3,8,
24, 22,19,15,45,38,58,21,29,51,54,44,49,3,12,16,4,40,13,1,9,14,42,2,23,,10,11,26,25,48,17,8,5,27,60,0,
25, 47,21,54,44,57,24,31,25,29,9,28,36,10,2,35,12,58,34,6,50,1,16,53,32,4,,14,8,3,33,0,7,26,51,23,41,
26, 23,35,32,34,40,39,53,45,9,11,19,43,31,51,4,57,47,50,2,20,3,13,10,17,1,7,,6,21,49,54,12,0,22,16,15,
27, 24,52,23,43,15,50,17,2,26,27,18,1,37,33,0,10,11,49,45,6,51,3,39,31,34,22,38,,32,14,7,47,13,8,4,5,
28, 25,36,44,55,19,28,8,57,0,40,10,51,43,58,29,33,7,14,50,15,18,2,1,20,53,6,52,11,,12,3,27,60,16,5,22,
29, 48,53,45,23,8,12,30,7,35,2,33,13,38,57,56,18,26,36,5,54,37,24,14,10,39,9,3,17,6,,51,22,50,1,0,4,
30, 26,24,20,28,27,43,39,36,33,41,55,35,11,59,48,6,31,32,8,10,47,5,50,18,2,1,4,0,16,7,,3,25,21,34,12,
31, 27,48,40,17,46,49,23,14,19,39,15,42,30,11,3,43,56,26,18,8,7,0,4,52,9,13,1,5,24,45,6,,2,29,37,10,
32, 28,37,49,42,54,36,29,0,25,18,38,56,24,5,12,30,44,55,14,22,6,60,48,46,17,4,8,20,11,19,10,9,,2,7,1,
33, 29,38,28,46,9,44,41,48,22,36,54,47,20,14,21,13,8,35,25,7,58,30,16,5,15,18,2,1,12,4,45,0,10,,26,19,
34, 30,39,37,13,52,48,46,21,49,59,41,38,47,9,31,23,16,12,42,26,27,32,5,11,29,14,51,4,7,0,8,20,19,15,,6,
35, 31,40,46,0,49,29,47,9,58,44,50,25,42,1,55,39,6,19,59,16,17,11,28,4,13,8,48,2,14,3,5,35,23,7,12,,
