jobid,duration,size
     1,  7662,     4
     2, 23014,     3
     3, 12686,     4
     4,  8421,     1
     5, 31414,     1
     6,   490,     2
     7, 60097,     4
     8, 30989,     2
     9, 43101,     7
    10, 27623,     1
    11,  8972,     2
    12, 57268,     1
    13, 23442,     4
    14, 27213,     5
    15, 22611,     1
    16,   460,     2
    17,  3127,     8
    18, 21867,     5
    19,  9856,     2
    20, 25003,     2
    21, 10151,     5
    22,  1762,     1
    23, 24105,     8
    24,  2695,     3
    25,  1135,     2
    26,  4845,     1
    27, 41373,     5
    28,  6579,     2
    29, 25530,     4
    30, 36221,     2
    31, 26232,     3
    32,  8875,     4
    33,  2379,     4
    34,  5858,     1
    35, 18191,     3
    36, 21231,     1
    37, 18074,     1
    38, 17376,     2
    39,  8801,     2
    40,  6707,     3
    41, 11786,     3
    42, 18461,     3
    43,  8637,     4
    44, 32159,     6
    45, 53140,     5
    46, 42872,     2
    47,  6090,     1
    48, 13493,     3
    49,  8505,     2
    50,  4005,     5
    51,  2626,     6
    52,  5405,     5
    53, 16290,     1
    54,  7444,     3
    55, 13778,     2
    56, 61407,     1
    57, 43091,     5
    58,  1608,     1
    59, 27547,     4
    60, 18098,     2
    61,  4390,     3
    62, 77192,     2
    63, 88403,     2
    64, 20691,     1
    65, 11067,     4
    66,  9802,     2
    67, 10611,     1
    68, 20038,     1
    69,   515,     5
    70, 35692,     4
    71,  8676,     2
    72,  1307,     7
    73, 14499,     3
    74,  7719,     8
    75, 24110,     1
    76,  5053,     3
    77,  5519,     4
    78,  1822,     2
    79, 15706,     6
    80,  9731,     2
    81, 25387,     4
    82,  6423,     2
    83, 97212,     3
    84, 16555,     6
    85, 20211,     4
    86, 13872,     2
    87, 22070,     1
    88, 24577,     3
    89,   782,     1
    90,  3668,     4
    91,  8064,     2
    92, 42132,     8
    93,  7629,     2
    94, 18532,     2
    95, 79355,     7
    96, 11607,     8
    97, 12863,     1
    98,  1170,     2
    99, 15559,     4
   100,  3391,     1
   101,  8064,     4
   102, 57917,     5
   103, 24023,     2
   104, 29399,     4
   105, 26142,     4
   106,    33,     5
   107, 17021,     2
   108,  7526,     3
   109,  4950,     3
   110,    17,     3
   111,  5395,     3
   112,  6258,     6
   113, 30390,     2
   114,  7034,     1
   115, 33068,     4
   116,  2462,     6
   117,  2886,     3
   118,  9618,     4
   119,  2887,     3
   120, 23064,     1
   121,  9417,     2
   122, 52429,     2
   123, 47080,     3
   124, 12553,     1
   125,  9433,     3
   126,  4105,     5
   127, 45876,     1
   128, 14875,     1
   129,  7066,     1
   130, 19578,     5
   131,  7253,     2
   132, 49316,     6
   133,  3254,     3
   134,  9352,     2
   135, 99196,     1
   136, 46378,     5
   137,  9484,     6
   138, 10957,     4
   139, 13358,     1
   140, 14707,     3
   141, 17748,     1
   142, 20127,     1
   143,  1157,     3
   144, 78454,     5
   145, 55455,     2
   146,  3594,     4
   147, 41536,     3
   148,   126,     1
   149, 11165,     6
   150, 17389,     3
   151, 20278,     2
   152,  8593,     6
   153,  1316,     3
   154,  3926,     6
   155, 34103,     3
   156,  3909,     2
   157, 31747,     4
   158, 29135,     2
   159, 11469,     1
   160, 21690,     2
   161, 11560,     2
   162,  7617,     2
   163, 19158,     1
   164,  9335,     1
   165, 42537,     4
   166,  8458,     1
   167, 39894,     1
   168,   568,     2
   169, 14977,     2
   170, 14852,     1
   171, 10461,     5
   172,  6248,     4
   173, 14346,     8
   174, 12428,     4
   175, 35923,     2
   176,   593,     7
   177,   299,     1
   178, 73435,     2
   179, 34375,     1
   180,  1935,     1
   181,   151,     2
   182, 34734,     1
   183, 46415,     1
   184,  7931,     5
   185, 54886,     2
   186, 31048,     3
   187, 25502,     4
   188, 14647,     2
   189, 12505,     1
   190, 54369,     7
   191, 51233,     2
   192, 11661,     2
   193, 55220,     3
   194, 63037,     1
   195, 27391,     5
   196,  2869,     4
   197, 17205,     4
   198,  2681,     7
   199, 10957,     2
   200,  4479,     2
   201, 58538,     1
   202,   299,     2
   203,  6792,     7
   204, 38741,     1
   205,  5221,     5
   206, 19046,     2
   207, 36627,     2
   208, 10623,     1
   209, 63026,     2
   210,  8502,     2
   211, 11358,     4
   212,    13,     2
   213,  5214,     4
   214, 21739,     2
   215,  5392,     2
   216, 11921,     5
   217, 32402,     4
   218, 38318,     4
   219, 19372,     2
   220, 16328,     4
   221, 14075,     1
   222, 16070,     4
   223,  3243,     1
   224,  7532,     4
   225, 45225,     1
   226, 33709,     3
   227, 17043,     4
   228, 13641,     5
   229, 39487,     1
   230,  4178,     2
   231, 74720,     1
   232,  1420,     4
   233, 18266,     3
   234, 26471,     1
   235,  4885,     4
   236,  5700,     2
   237, 17645,     2
   238,  4456,     4
   239, 28910,     1
   240, 62811,     1
   241,  6585,     3
   242, 10321,     5
   243, 46879,     4
   244, 25932,     5
   245,  4199,     3
   246, 20812,     4
   247, 17088,     4
   248, 17676,     4
   249,  8159,     3
   250,  3469,     2
   251, 23597,     3
   252,  2908,     7
   253,  2640,     8
   254, 20163,     3
   255,    19,     1
   256,  2648,     1
   257, 43597,     1
   258,  2136,     2
   259,  1347,     3
   260, 20483,     4
   261, 15993,     5
   262,  5464,     2
   263, 27092,     4
   264, 27961,     2
   265, 19496,     2
   266, 20683,     8
   267,  9250,     8
   268,  5557,     4
   269, 15192,     5
   270,  2283,     2
   271,  6216,     3
   272,  9155,     2
   273, 34686,     5
   274, 27345,     2
   275, 15100,     2
   276, 18741,     4
   277, 13875,     2
   278, 23744,     1
   279, 27082,     3
   280,  9654,     3
   281,  7449,     4
   282,  4252,     2
   283, 18944,     4
   284,  2085,     1
   285, 27972,     3
   286, 32748,     1
   287,  3502,     2
   288,102514,     6
   289, 60938,     1
   290, 15946,     8
   291,   677,     1
   292,  8500,     2
   293, 15955,     4
   294, 11195,     2
   295, 75490,     3
   296, 24315,     3
   297,  2326,     3
   298, 44698,     2
   299, 53376,     1
   300,   282,     4
   301,  6579,     4
   302,  9702,     1
   303, 12785,     4
   304, 34069,     6
   305, 72370,     1
   306,  2052,     5
   307, 53987,     2
   308, 32595,     2
   309,  1707,     2
   310,  6363,     2
   311,  1134,     2
   312, 20836,     1
   313, 55762,     6
   314, 10963,     5
   315, 46427,     2
   316, 17958,     3
   317,  4955,     1
   318, 22302,     2
   319, 96501,     4
   320,  8281,     2
   321,  6896,     4
   322,  8439,     5
   323, 19722,     4
   324, 16278,     2
   325, 11067,     4
   326, 10098,     3
   327, 17153,     5
   328, 13174,     3
   329, 18954,     1
   330,  8429,     2
   331,  2590,     3
   332, 13224,     2
   333,  8926,     4
   334, 43299,     3
   335,   424,     4
   336, 34826,     3
   337, 26216,     2
   338,  5094,     2
   339, 37162,     1
   340, 43476,     1
   341, 49828,     2
   342, 30936,     5
   343,  7812,     2
   344,  7259,     1
   345,  3280,     3
   346, 27263,     2
   347, 16341,     3
   348, 22572,     3
   349, 30061,     5
   350, 25931,     1
   351,   294,     5
   352,  6666,     2
   353, 25720,     1
   354, 43552,     8
   355, 30767,     3
   356, 27940,     1
   357, 36072,     2
   358, 19726,     8
   359,  6596,     1
   360, 22190,     5
   361,  1951,     2
   362, 12354,     6
   363, 23696,     3
   364,  9293,     1
   365, 22286,     1
   366, 28670,     4
   367, 42814,     2
   368, 35604,     3
   369,  7684,     2
   370, 16648,     1
   371, 26562,     5
   372,  7244,     1
   373,  4667,     3
   374, 65237,     2
   375, 35886,     2
   376, 13222,     8
   377,  1055,     1
   378,  2555,     1
   379, 62150,     2
   380, 21333,     1
   381, 14631,     7
   382, 17386,     3
   383,  4224,     2
   384,  6288,     2
   385, 10156,     3
   386,  9781,     2
   387, 31476,     3
   388, 50975,     4
   389, 10556,     1
   390,  2227,     3
   391,  3857,     5
   392, 57422,     4
   393, 16167,     2
   394,   686,     1
   395, 60733,     2
   396, 39621,     3
   397, 12373,     4
   398, 24909,     8
   399, 25351,     2
   400,  4306,     5
   401,  6788,     1
   402, 23238,     5
   403, 48367,     5
   404,  1906,     1
   405, 45579,     1
   406, 17721,     2
   407,  4937,     5
   408, 15449,     7
   409, 14032,     3
   410,  1670,     5
   411, 15335,     2
   412, 20224,     1
   413, 10917,     2
   414, 10079,     1
   415,  8825,     3
   416,  6516,     1
   417,  3585,     4
   418, 14868,     1
   419, 83475,     5
   420, 30363,     7
   421, 10975,     1
   422, 48829,     2
   423, 54822,     2
   424, 29189,     2
   425, 19017,     1
   426, 20226,     1
   427,101053,     8
   428,  4274,     8
   429, 43150,     3
   430, 81575,     2
   431, 89974,     1
   432, 95799,     1
   433,  9608,     2
   434, 33840,     7
   435, 26719,     3
   436, 31256,     2
   437,120668,     1
   438, 50790,     6
   439, 59206,     2
   440, 26915,     1
   441,  6234,     1
   442, 43312,     2
   443,  8179,     1
   444, 33114,     4
   445,  5503,     4
   446, 89219,     2
   447, 32630,     2
   448, 49453,     1
   449,  7506,     1
   450, 27311,     5
   451, 15568,     5
   452, 21965,     2
   453, 17531,     1
   454, 27018,     3
   455,  6465,     5
   456,  4192,     4
   457, 18714,     2
   458, 20123,     2
   459, 14609,     2
   460, 13789,     2
   461, 69435,     1
   462, 19865,     2
   463, 47559,     4
   464, 18991,     1
   465, 11960,     2
   466,  8304,     5
   467,   731,     2
   468, 13198,     4
   469, 23190,     2
   470, 21922,     2
   471, 53132,     2
   472, 30344,     3
   473, 25116,     3
   474,   474,     2
   475, 19762,     1
   476, 15367,     3
   477,  2968,     1
   478,  2894,     3
   479, 25797,     1
   480,  2725,     2
   481, 10561,     1
   482,  3999,     1
   483, 17316,     5
   484, 11217,     5
   485, 23224,     1
   486, 42564,     1
   487, 19737,     8
   488, 29679,     1
   489,  1925,     2
   490,   271,     6
   491,  9642,     3
   492, 31065,     2
   493, 11642,     2
   494, 22774,     3
   495, 21399,     5
   496, 33387,     1
   497,   691,     2
   498, 93658,     4
   499, 41424,     2
   500, 30067,     4
   501, 31697,     4
   502, 23042,     5
   503,  9986,     2
   504, 22432,     2
   505, 25706,     4
   506, 62886,     1
   507,  4278,     3
   508, 22748,     5
   509, 16291,     5
   510,108970,     2
   511,  5742,     3
   512,132718,     4
   513, 19403,     2
   514, 38649,     2
   515, 21381,     1
   516,117738,     4
   517,  5435,     3
   518, 34481,     8
   519,  6232,     2
   520,  9044,     2
   521, 16956,     1
   522, 36985,     4
   523,  8718,     1
   524,  9198,     6
   525,  9308,     3
   526, 25703,     6
   527,  9395,     8
   528, 41298,     2
   529,  7584,     4
   530,   653,     3
