/* 64- and 128- Bit Instructions */
/*  Instruction;Operands;Operation;Decode Unit;Execution Unit;Base Latency;+Memory Latency;Throughput;Category  */
/*  By default, if an instruction has no character to its left, this means that there is always a 2-cycle difference */
/*  between that instruction have only xmmister operands and that instruction having a memory operand.               */
/*  Any instruction that has a memory operand as its second operand is a LOAD.					     */
/*  Instructions with an * in front of them means that the operands must be inspected before you can tell which      */
/*  execution it will use and, therefore, its latency.  							     */

*MOVAPD  xmm,xmm         single  single  FADD/FMUL/FSTORE 2    0    3/1   FADD-2
*MOVAPS  xmm,xmm         single  single  FADD/FMUL/FSTORE 2    0    3/1   FADD-2
*MOVDDUP xmm,xmm         single  single  FADD/FMUL/FSTORE 2    0    3/1   FADD-2
MOVDQ2Q  mm,xmm          single  single  FADD/FMUL/FSTORE 2    0    3/1   FADD-2
*MOVDQA  xmm,xmm         single  single  FADD/FMUL/FSTORE 2    0    3/1   FADD-2
*MOVDQU  xmm,xmm         single  single  FADD/FMUL/FSTORE 2    0    3/1   FADD-2
*MOVQ    xmm,xmm         single  single  FADD/FMUL/FSTORE 2    0    3/1   FADD-2
MOVQ2DQ  xmm,mm          single  single  FADD/FMUL/FSTORE 2    0    3/1   FADD-2
*MOVUPS  xmm,xmm         single  single  FADD/FMUL/FSTORE 2    0    3/1   FADD-2
CMPPD    xmm,xmm,imm     single  single  FADD       2    2    1/1   FADD-2
CMPPS    xmm,xmm,imm     single  single  FADD       2    2    1/1   FADD-2
CMPSD    xmm,xmm,imm     single  single  FADD       2    2    1/1   FADD-2
CMPSS    xmm,xmm,imm     single  single  FADD       2    2    1/1   FADD-2
MAXPD    xmm,xmm         single  single  FADD       2    2    1/1   FADD-2
MAXPS    xmm,xmm         single  single  FADD       2    2    1/1   FADD-2
MAXSD    xmm,xmm         single  single  FADD       2    2    1/1   FADD-2
MAXSS    xmm,xmm         single  single  FADD       2    2    1/1   FADD-2
MINPD    xmm,xmm         single  single  FADD       2    2    1/1   FADD-2
MINPS    xmm,xmm         single  single  FADD       2    2    1/1   FADD-2
MINSD    xmm,xmm         single  single  FADD       2    2    1/1   FADD-2
MINSS    xmm,xmm         single  single  FADD       2    2    1/1   FADD-2
PFCMPEQ  mm,mm           single  single  FADD       2    2    1/1   FADD-2
PFCMPGE  mm,mm           single  single  FADD       2    2    1/1   FADD-2
PFCMPGT  mm,mm           single  single  FADD       2    2    1/1   FADD-2
PFMAX    mm,mm           single  single  FADD       2    2    1/1   FADD-2
PFMIN    mm,mm           single  single  FADD       2    2    1/1   FADD-2
MOVLHPS  xmm,xmm         single  single  FADD/FMUL  2    0    2/1   FADD-2
*MOVSD   xmm,xmm         single  single  FADD/FMUL  2    0    2/1   FADD-2
*MOVSHDUP xmm,xmm         single  single  FADD/FMUL  2    0    2/1   FADD-2
*MOVSLDUP xmm,xmm         single  single  FADD/FMUL  2    0    2/1   FADD-2
*MOVSS   xmm,xmm         single  single  FADD/FMUL  2    0    2/1   FADD-2
*MOVQ    mm,mm           single  single  FADD/FMUL  2    0    1/99  FADD-2
ANDNPD   xmm,xmm         single  single  FADD/FMUL  2    2    2/1   FADD-2
ANDNPS   xmm,xmm         single  single  FADD/FMUL  2    2    2/1   FADD-2
ANDPD    xmm,xmm         single  single  FADD/FMUL  2    2    2/1   FADD-2
ANDPS    xmm,xmm         single  single  FADD/FMUL  2    2    2/1   FADD-2
EXTRQ    xmm,xmm/imm,imm single  single  FADD/FMUL  2    0    2/1   FADD-2
MOVHLPS  xmm,xmm         single  single  FADD/FMUL  2    0    2/1   FADD-2
MOVLHPS  xmm,xmm         single  single  FADD/FMUL  2    0    2/1   FADD-2
*MOVSD   xmm,xmm         single  single  FADD/FMUL  2    0    2/1   FADD-2
*MOVSHDUP xmm,xmm         single  single  FADD/FMUL  2    0    2/1   FADD-2
*MOVSLDUP xmm,xmm         single  single  FADD/FMUL  2    0    2/1   FADD-2
*MOVSS   xmm,xmm         single  single  FADD/FMUL  2    0    2/1   FADD-2
ORPD     xmm,xmm         single  single  FADD/FMUL  2    2    2/1   FADD-2
ORPS     xmm,xmm         single  single  FADD/FMUL  2    2    2/1   FADD-2
PACKSSDW xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PACKSSWB xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PACKUSWB xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PADDB    xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PADDW    xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PADDD    xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PADDQ    xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PADDSB   xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PADDSW   xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PADDUSB  xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PADDUSW  xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PAND     xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PANDN    xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PAVGB    xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PAVGW    xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PAVGUSB  mm,mm           single  single  FADD/FMUL  2    2    2/1   FADD-2
PCMPEQB  xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PCMPEQW  xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PCMPEQD  xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PCMPGTB  xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PCMPGTW  xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PCMPGTD  xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PMAXSW   xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PMAXUB   xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PMINSW   xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PMINUB   xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
POR      xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PSHUFD   xmm,xmm         single  single  FADD/FMUL  2    2    2/1   FADD-2
PSHUFW   mm,mm           single  single  FADD/FMUL  2    2    2/1   FADD-2
PSHUFHW  xmm,xmm         single  single  FADD/FMUL  2    2    2/1   FADD-2
PSHUFLW  xmm,xmm         single  single  FADD/FMUL  2    2    2/1   FADD-2
PSLLW    xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PSLLD    xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PSLLQ    xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PSLLDQ   xmm,xmm         single  single  FADD/FMUL  2    0    2/1   FADD-2
PSRAW    xmm/mm,(xmm/mm)/imm single  single  FADD/FMUL  2    2    2/1   FADD-2
PSRAD    xmm/mm,(xmm/mm)/imm single  single  FADD/FMUL  2    2    2/1   FADD-2
PSRLW    xmm/mm,(xmm/mm)/imm single  single  FADD/FMUL  2    2    2/1   FADD-2
PSRLD    xmm/mm,(xmm/mm)/imm single  single  FADD/FMUL  2    2    2/1   FADD-2
PSRLQ    xmm/mm,(xmm/mm)/imm single  single  FADD/FMUL  2    2    2/1   FADD-2
PSRLDQ   xmm,imm         single  single  FADD/FMUL  2    0    2/1   FADD-2
PSUBB    xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PSUBW    xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PSUBD    xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PSUBQ    xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PSUBSB   xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PSUBSW   xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PSUBUSB  xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PSUBUSW  xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PSWAPD   mm,mm           single  single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKHBW xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKHWD xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKHDQ xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKHQDQ xmm,xmm         single  single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKLBW xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKLWD xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKLDQ xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKLQDQ xmm,xmm         single  single  FADD/FMUL  2    2    2/1   FADD-2
PXOR     xmm/mm,xmm/mm   single  single  FADD/FMUL  2    2    2/1   FADD-2
SHUFPD   xmm,xmm         single  single  FADD/FMUL  2    2    2/1   FADD-2
SHUFPS   xmm,xmm         single  single  FADD/FMUL  2    2    2/1   FADD-2
UNPCKHPD xmm,xmm         single  single  FADD/FMUL  2    2    2/1   FADD-2
UNPCKHPS xmm,xmm         single  single  FADD/FMUL  2    2    2/1   FADD-2
UNPCKLPD xmm,xmm         single  single  FADD/FMUL  2    2    2/1   FADD-2
UNPCKLPS xmm,xmm         single  single  FADD/FMUL  2    2    2/1   FADD-2
XORPD    xmm,xmm         single  single  FADD/FMUL  2    2    2/1   FADD-2
XORPS    xmm,xmm         single  single  FADD/FMUL  2    2    2/1   FADD-2


*MOVD    reg,xmm/mm      single  single  FADD/INT   3    0    1/1   FADD-3
MOVMSKPD reg,xmm         single  single  FADD       3    0    1/1   FADD-3
MOVMSKPS reg,xmm         single  single  FADD       3    0    1/1   FADD-3
PMOVMSKB reg,xmm/mm      single  single  FADD       3    0    1/1   FADD-3
COMISD   xmm,xmm         single  single  FADD       3    2    1/1   FADD-3
COMISS   xmm,xmm         single  single  FADD       3    2    1/1   FADD-3
PSADBW   xmm/mm,xmm/mm   single  single  FADD       3    2    1/1   FADD-3
UCOMISD  xmm,xmm         single  single  FADD       3    2    1/1   FADD-3
UCOMISS  xmm,xmm         single  single  FADD       3    2    1/1   FADD-3


ADDPD    xmm,xmm         single  single  FADD       4    2    1/1   FADD-4
ADDPS    xmm,xmm         single  single  FADD       4    2    1/1   FADD-4
ADDSD    xmm,xmm         single  single  FADD       4    2    1/1   FADD-4
ADDSS    xmm,xmm         single  single  FADD       4    2    1/1   FADD-4
ADDSUBPD xmm,xmm         single  single  FADD       4    2    1/1   FADD-4
ADDSUBPS xmm,xmm         single  single  FADD       4    2    1/1   FADD-4
HADDPD   xmm,xmm         single  single  FADD       4    2    1/1   FADD-4
