"AMD K10",,,,,,
"List of instruction timings and macro-operation breakdown",,,,,,
,,,,,,
"Explanation of column headings:",,,,,,
"Instruction:","Instruction name. cc means any condition code. For example, Jcc can be JB, JNE, etc.",,,,,
"Operands:","i = immediate constant, r = any register, r32 = 32-bit register, etc., mm = 64 bit mmx register, xmm = 128 bit xmm register, sr = segment register, m = any memory operand including indirect operands, m64 means 64-bit memory operand, etc.",,,,,
"Ops:","Number of macro-operations issued from instruction decoder to schedulers. Instructions with more than 2 macro-operations use microcode.",,,,,
"Latency:","This is the delay that the instruction generates in a dependency chain. The numbers are minimum values. Cache misses, misalignment, and exceptions may increase the clock counts considerably. Floating point operands are presumed to be normal numbers. Denormal numbers, NAN's, infinity and exceptions increase the delays. The latency listed does not include the memory operand where the operand is listed as register or memory (r/m).",,,,,
"Reciprocal throughput:","This is also called issue latency. This value indicates the average number of clock cycles from the execution of an instruction begins to a subsequent independent instruction of the same kind can begin to execute. A value of 1/3 indicates that the execution units can handle 3 instructions per clock cycle in one thread. However, the throughput may be limited by other bottlenecks in the pipeline. ",,,,,
"Execution unit:","Indicates which execution unit is used for the macro-operations. ALU means any of the three integer ALU's. ALU0_1 means that ALU0 and ALU1 are both used. AGU means any of the three integer address generation units. FADD means floating point adder unit. FMUL means floating point multiplier unit. FMISC means floating point store and miscellaneous unit. FA/M means FADD or FMUL is used. FANY means any of the three floating point units can be used. Two macro-operations can execute simultaneously if they go to different execution units.",,,,,
,,,,,,
"Integer instructions",,,,,,
"Instruction","Operands","Ops","Latency","Reciprocal throughput","Execution unit","Notes"
"Move instructions",,,,,,
"MOV","r,r",1,"1","1/3","ALU",
"MOV","r,i",1,"1","1/3","ALU",
"MOV","r8,m8",1,"4","1/2","ALU, AGU","Any addressing mode. Add 1 clock if code segment base ≠ 0"
"MOV","r16,m16",1,"4","1/2","ALU, AGU",
"MOV","r32,m32",1,"3","1/2","AGU",
"MOV","r64,m64",1,"3","1/2","AGU",
"MOV","m8,r8H",1,"8","1/2","AGU","AH, BH, CH, DH"
"MOV","m8,r8L",1,"3","1/2","AGU","Any other 8-bit register"
"MOV","m16/32/64,r",1,"3","1/2","AGU","Any addressing mode"
"MOV","m,i",1,"3","1/2","AGU",
"MOV","m64,i32",1,"3","1/2","AGU",
"MOV","r,sr",1,"3-4","1/2",,
"MOV","sr,r/m",6,"8-26",8,,"from AMD manual"
"MOVNTI","m,r",1,,"1","AGU",
"MOVZX, MOVSX","r,r",1,"1","1/3","ALU",
"MOVZX, MOVSX","r,m",1,"4","1/2","ALU, AGU",
"MOVSXD","r64,r32",1,"1","1/3","ALU",
"MOVSXD","r64,m32",1,"4","1/2","ALU, AGU",
"CMOVcc","r,r",1,"1","1/3","ALU",
"CMOVcc","r,m",1,"4","1/2","ALU, AGU",
"XCHG","r,r",2,"1",1,"ALU",
"XCHG","r,m",2,"21",19,"ALU, AGU","Timing depends on hw"
"XLAT",,2,"5",5,"ALU, AGU",
"PUSH","r",1,,"1/2","ALU, AGU",
"PUSH","i",1,,"1/2","ALU, AGU",
"PUSH","m",2,,1,"ALU, AGU",
"PUSH","sr",2,,1,"ALU, AGU",
"PUSHF(D/Q)",,9,,3,"ALU, AGU",
"PUSHA(D)",,9,"6",6,"ALU, AGU",
"POP","r",1,,"1/2","ALU, AGU",
"POP","m",3,"3",1,"ALU, AGU",
"POP","DS/ES/FS/GS","6","10",8,"ALU, AGU",
"POP","SS","10","26",16,"ALU, AGU",
"POPF(D/Q)",,28,"16",11,"ALU, AGU",
"POPA(D)",,9,"6",6,"ALU, AGU",
"LEA","r16,[m]",2,"3",1,"ALU, AGU","Any address size"
"LEA","r32/64,[m]",1,"1","1/3","ALU","≤ 2 source operands"
"LEA","r32/64,[m]",1,"2","1/3","AGU","W. scale or 3 opr."
"LAHF",,4,"3",2,"ALU",
"SAHF",,1,"1","1/3","ALU",
"SALC",,1,"1","1","ALU",
"LDS, LES, ...","r,m",10,,10,,
"BSWAP","r",1,"1","1/3","ALU",
"PREFETCHNTA","m",1,,"1/2","AGU",
"PREFETCHT0/1/2","m",1,,"1/2","AGU",
"SFENCE",,6,,8,,
"LFENCE",,1,,1,,
"MFENCE",,4,,33,,
"IN","r,i/DX","~270",,,,
"OUT","i/DX,r","~300",,,,
,,,,,,
"Arithmetic instructions",,,,,,
"ADD, SUB","r,r/i",1,"1","1/3","ALU",
"ADD, SUB","r,m",1,,"1/2","ALU, AGU",
"ADD, SUB","m,r",1,"4",1,"ALU, AGU",
"ADC, SBB","r,r/i",1,"1","1/3","ALU",
"ADC, SBB","r,m",1,,"1/2","ALU, AGU",
"ADC, SBB","m,r/i",1,"4",1,"ALU, AGU",
"CMP","r,r/i",1,"1","1/3","ALU",
"CMP","r,m",1,,"1/2","ALU, AGU",
"INC, DEC, NEG","r",1,"1","1/3","ALU",
"INC, DEC, NEG","m",1,"7",2,"ALU, AGU",
"AAA, AAS",,9,"5",5,"ALU",
"DAA",,12,"6",6,"ALU",
"DAS",,16,"7",7,"ALU",
"AAD",,4,"5",5,"ALU0",
"AAM",,30,"13",13,"ALU",
"MUL, IMUL","r8/m8",1,"3",1,"ALU0",
"MUL, IMUL","r16/m16",3,"3",2,"ALU0_1","latency ax=3, dx=4"
"MUL, IMUL","r32/m32",2,"3",1,"ALU0_1",
"MUL, IMUL","r64/m64",2,"4",2,"ALU0_1","latency rax=4, rdx=5"
"IMUL","r16,r16/m16",1,"3",1,"ALU0",
"IMUL","r32,r32/m32",1,"3",1,"ALU0",
"IMUL","r64,r64/m64",1,"4",2,"ALU0_1",
"IMUL","r16,(r16),i",2,"4",1,"ALU0",
"IMUL","r32,(r32),i",1,"3",1,"ALU0",
"IMUL","r64,(r64),i",1,"4",2,"ALU0",
"IMUL","r16,m16,i",3,,2,"ALU0",
"IMUL","r32,m32,i",3,,2,"ALU0",
"IMUL","r64,m64,i",3,,2,"ALU0_1",
"DIV","r8/m8",,"17",17,"ALU",
"IDIV","r8",,"19",19,"ALU",
"IDIV","m8",,"22",22,"ALU",
"DIV","r16/m16",,"15-30","15-30","ALU","Depends on number of significant bits in absolute value of dividend. See AMD software optimization guide."
"DIV","r32/m32",,"15-46","15-46","ALU",
"DIV","r64/m64",,"15-78","15-78","ALU",
"IDIV","r16/m16",,"24-39","24-39","ALU",
"IDIV","r32/m32",,"24-55","24-55","ALU",
"IDIV","r64/m64",,"24-87","24-87","ALU",
"CBW, CWDE, CDQE",,1,"1","1/3","ALU",
"CWD, CDQ, CQO",,1,"1","1/3","ALU",
,,,,,,
"Logic instructions",,,,,,
"AND, OR, XOR","r,r",1,"1","1/3","ALU",
