/* 64- and 128- Bit Instructions */
/*  Instruction;Operands;Operation;Decode Unit;Execution Unit;Base Latency; */
/*              +Memory Latency;Throughput;Category  */
/*  By default, if an instruction has no character to its left, this means */
/*  that there is always a 2-cycle difference between that instruction have */
/*  only xmmister operands and that instruction having a memory operand. */
/*  Any instruction that has a memory operand as its second operand is a */
/*  LOAD. Instructions with an * in front of them means that the operands */
/*  must be inspected before you can tell which        */
/*  execution it will use and, therefore, its latency. */

/* WALEED: notes, I'm making a line for each unique combination of operands */
/*   I'm also removing the memory + latency because that should be taken care of in the model and since */
/*   We are reading a detailed instruction mix, each line of which should hit in exactly one line here */ 
/* also, replaced all CL/.. references with 'reg' and constant '1''s with 'imm'
// all entries with unspecified reg size, replaced to reg8/16/32/64
// finally, entries with unspecified 'mem' size also replaced to mem8/mem16/mem32/mem64

*MOVAPD  xmm,xmm         MOV     single  FADD/FMUL/FSTORE 2  0   2/1  FADD-2
*MOVAPD  xmm,mem         MOV     single  FADD/FMUL/FSTORE 2  0   2/1  FLOAD-2
*MOVAPD  mem,xmm         MOV     double  FMUL&FSTORE      2  0   1/1  FSTORE-2
*MOVAPS  xmm,xmm         MOV     single  FADD/FMUL/FSTORE 3  0   2/1  FADD-2
*MOVAPS  xmm,mem         MOV     single  FADD/FMUL/FSTORE 2  0   2/1  FLOAD-2
*MOVAPS  mem,xmm         MOV     double  FMUL&FSTORE      2  0   1/1  FSTORE-2
*MOVDDUP xmm,xmm         MOV     single  FADD/FMUL 2  0   3/1  FADD-2
*MOVDDUP xmm,mem         MOV     single  FSTORE           2  0   2/1  FLOAD-2
*MOVDDUP mem,xmm         MOV     single  FSTORE           2  0   2/1  FLOAD-2
MOVDQ2Q  mm,xmm          MOV     single  FADD/FMUL/FSTORE 2  0   3/1  FADD-2
*MOVDQA  xmm,xmm         MOV     single  FADD/FMUL/FSTORE 2  0   3/1  FADD-2
*MOVDQA  xmm,mem         MOV     single  FSTORE           2  0   2/1  FLOAD-2
*MOVDQA  mem,xmm         MOV     double  FMUL&FSTORE      2  0   1/1  FSTORE-2
*MOVDQU  xmm,xmm         MOV     single  FADD/FMUL        2  0   3/1  FADD-2
*MOVDQU  mem,xmm         MOV     vector  FSTORE           3  0   1/2  FSTORE-3
*MOVDQU  xmm,mem         MOV     single  FSTORE           2  0   2/1  FLOAD-2

*MOVD    reg32,xmm/mm    MOV     single  FADD              3  0   1/1  FADD-3
*MOVD    xmm,mem         MOV     single  FADD/FMUL/FSTORE  2  0   2/1  FLOAD-2
*MOVD    mem,xmm/mm      MOV     single  FSTORE            2  0   1/1  FSTORE-2
*MOVD    mm,mem          MOV     single  FADD/FMUL/FSTORE  4  0   2/1  FLOAD-4
*MOVD    xmm/mm,reg32    MOV     double  FMUL&ALU          6  0   1/3  ALU-6

*MOVD    xmm/mm,reg64    MOV     double  FMUL&ALU          6  0   1/3  ALU-6
*MOVD    reg64,xmm/mm    MOV     single  FADD              3  0   1/1  FADD-3
*MOVQ    xmm/mm,reg64    MOV     double  FMUL&ALU          6  0   1/3  ALU-6
*MOVQ    reg64,xmm/mm    MOV     single  FADD              3  0   1/1  FADD-3

  
*MOVQ    xmm,xmm         MOV     single  FADD/FMUL/FSTORE 2   0   3/1   FADD-2
*MOVQ    mm,mm           MOV     single  FADD/FMUL/FSTORE 2   0   2/1   FADD-2
*MOVQ    mem,xmm/mm      MOV     single  FSTORE           2   0   1/1   FSTORE-2
*MOVQ    xmm,mem         MOV     single  FSTORE           2   0   2/1   FLOAD-2
*MOVQ    mm,mem          MOV     single  FADD/FMUL/FSTORE 4   0   2/1   FLOAD-4

MOVQ2DQ  xmm,mm          MOV     single  FADD/FMUL 2   0   3/1   FADD-2

*MOVUPS  xmm,xmm         MOV     single  FADD/FMUL/FSTORE 2   0   2/1   FADD-2
*MOVUPS  mem,xmm         MOV     vector  FSTORE           3   0   1/2   FSTORE-3
*MOVUPS  xmm,mem         MOV     single  FADD/FMUL/FSTORE 2   0   2/1   FLOAD-2
*MOVUPD  xmm,xmm         MOV     single  FADD/FMUL/FSTORE 2   0   2/1   FADD-2
*MOVUPD  mem,xmm         MOV     vector  FSTORE           3   0   1/2   FSTORE-3
*MOVUPD  xmm,mem         MOV     single  FADD/FMUL/FSTORE 2   0   2/1   FLOAD-2

CMPPD    xmm,xmm,imm     ADD     single  FADD       2    0    1/1   FADD-2
CMPPD    xmm,mem,imm     ADD     single  FADD       2    0    1/1   FADD-2
CMPPS    xmm,xmm,imm     ADD     single  FADD       2    0    1/1   FADD-2
CMPPS    xmm,mem,imm     ADD     single  FADD       2    0    1/1   FADD-2
CMPSD    xmm,xmm,imm     ADD     single  FADD       2    0    1/1   FADD-2
CMPSD    xmm,mem,imm     ADD     single  FADD       2    0    1/1   FADD-2
CMPSS    xmm,xmm,imm     ADD     single  FADD       2    0    1/1   FADD-2
CMPSS    xmm,mem,imm     ADD     single  FADD       2    0    1/1   FADD-2
MAXPD    xmm,xmm         ADD     single  FADD       2    0    1/1   FADD-2
MAXPD    xmm,mem         ADD     single  FADD       2    0    1/1   FADD-2
MAXPS    xmm,xmm         ADD     single  FADD       2    0    1/1   FADD-2
MAXPS    xmm,mem         ADD     single  FADD       2    0    1/1   FADD-2
MAXSD    xmm,xmm         ADD     single  FADD       2    0    1/1   FADD-2
MAXSD    xmm,mem         ADD     single  FADD       2    0    1/1   FADD-2
MAXSS    xmm,xmm         ADD     single  FADD       2    0    1/1   FADD-2
MAXSS    xmm,mem         ADD     single  FADD       2    0    1/1   FADD-2
MINPD    xmm,xmm         ADD     single  FADD       2    0    1/1   FADD-2
MINPD    xmm,mem         ADD     single  FADD       2    0    1/1   FADD-2
MINPS    xmm,xmm         ADD     single  FADD       2    0    1/1   FADD-2
MINPS    xmm,mem         ADD     single  FADD       2    0    1/1   FADD-2
MINSD    xmm,xmm         ADD     single  FADD       2    0    1/1   FADD-2
MINSD    xmm,mem         ADD     single  FADD       2    0    1/1   FADD-2
MINSS    xmm,xmm         ADD     single  FADD       2    0    1/1   FADD-2
MINSS    xmm,mem         ADD     single  FADD       2    0    1/1   FADD-2

PFCMPEQ  mm,mm           ADD     single  FADD       2    0    1/1   FADD-2
PFCMPGE  mm,mm           ADD     single  FADD       2    0    1/1   FADD-2
PFCMPGT  mm,mm           ADD     single  FADD       2    0    1/1   FADD-2
